2025-09-13 21:50:59,570 [INFO] 100,000 games scanned | Reservoir filled: 100,000 | Elapsed: 0.12 min
2025-09-13 21:51:06,683 [INFO] 200,000 games scanned | Reservoir filled: 200,000 | Elapsed: 0.24 min
2025-09-13 21:51:13,633 [INFO] 300,000 games scanned | Reservoir filled: 300,000 | Elapsed: 0.36 min
2025-09-13 21:51:20,495 [INFO] 400,000 games scanned | Reservoir filled: 400,000 | Elapsed: 0.47 min
2025-09-13 21:51:27,474 [INFO] 500,000 games scanned | Reservoir filled: 500,000 | Elapsed: 0.59 min
2025-09-13 21:51:34,770 [INFO] 600,000 games scanned | Reservoir filled: 600,000 | Elapsed: 0.71 min
2025-09-13 21:51:41,748 [INFO] 700,000 games scanned | Reservoir filled: 700,000 | Elapsed: 0.82 min
2025-09-13 21:51:48,835 [INFO] 800,000 games scanned | Reservoir filled: 800,000 | Elapsed: 0.94 min
2025-09-13 21:51:55,770 [INFO] 900,000 games scanned | Reservoir filled: 900,000 | Elapsed: 1.06 min
2025-09-13 21:52:02,731 [INFO] 1,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.17 min
2025-09-13 21:52:09,862 [INFO] 1,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.29 min
2025-09-13 21:52:17,071 [INFO] 1,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.41 min
2025-09-13 21:52:24,314 [INFO] 1,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.53 min
2025-09-13 21:52:31,458 [INFO] 1,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.65 min
2025-09-13 21:52:38,481 [INFO] 1,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.77 min
2025-09-13 21:52:45,605 [INFO] 1,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.89 min
2025-09-13 21:52:52,542 [INFO] 1,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.00 min
2025-09-13 21:52:59,559 [INFO] 1,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.12 min
2025-09-13 21:53:06,573 [INFO] 1,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.24 min
2025-09-13 21:53:16,750 [INFO] 2,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.41 min
2025-09-13 21:53:27,308 [INFO] 2,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.58 min
2025-09-13 21:53:37,904 [INFO] 2,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.76 min
2025-09-13 21:53:47,957 [INFO] 2,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.93 min
2025-09-13 21:53:58,010 [INFO] 2,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.10 min
2025-09-13 21:54:08,111 [INFO] 2,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.26 min
2025-09-13 21:54:18,315 [INFO] 2,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.43 min
2025-09-13 21:54:28,363 [INFO] 2,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.60 min
2025-09-13 21:54:38,549 [INFO] 2,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.77 min
2025-09-13 21:54:49,429 [INFO] 2,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 3.95 min
2025-09-13 21:55:00,789 [INFO] 3,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.14 min
2025-09-13 21:55:14,166 [INFO] 3,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.36 min
2025-09-13 21:55:22,055 [INFO] 3,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.50 min
2025-09-13 21:55:31,053 [INFO] 3,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.65 min
2025-09-13 21:55:40,972 [INFO] 3,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.81 min
2025-09-13 21:55:50,976 [INFO] 3,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 4.98 min
2025-09-13 21:56:01,208 [INFO] 3,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.15 min
2025-09-13 21:56:11,073 [INFO] 3,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.31 min
2025-09-13 21:56:20,905 [INFO] 3,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.48 min
2025-09-13 21:56:30,849 [INFO] 3,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.64 min
2025-09-13 21:56:41,074 [INFO] 4,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.81 min
2025-09-13 21:56:51,329 [INFO] 4,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 5.98 min
2025-09-13 21:57:01,892 [INFO] 4,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.16 min
2025-09-13 21:57:08,952 [INFO] 4,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.28 min
2025-09-13 21:57:16,015 [INFO] 4,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.40 min
2025-09-13 21:57:23,250 [INFO] 4,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.52 min
2025-09-13 21:57:30,547 [INFO] 4,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.64 min
2025-09-13 21:57:37,611 [INFO] 4,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.76 min
2025-09-13 21:57:44,671 [INFO] 4,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.87 min
2025-09-13 21:57:51,795 [INFO] 4,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.99 min
2025-09-13 21:57:58,876 [INFO] 5,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.11 min
2025-09-13 21:58:05,917 [INFO] 5,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.23 min
2025-09-13 21:58:12,993 [INFO] 5,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.35 min
2025-09-13 21:58:20,005 [INFO] 5,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.46 min
2025-09-13 21:58:27,043 [INFO] 5,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.58 min
2025-09-13 21:58:34,163 [INFO] 5,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.70 min
2025-09-13 21:58:41,302 [INFO] 5,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.82 min
2025-09-13 21:58:48,527 [INFO] 5,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.94 min
2025-09-13 21:58:55,733 [INFO] 5,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.06 min
2025-09-13 21:59:02,890 [INFO] 5,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.18 min
2025-09-13 21:59:10,023 [INFO] 6,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.30 min
2025-09-13 21:59:17,107 [INFO] 6,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.41 min
2025-09-13 21:59:24,252 [INFO] 6,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.53 min
2025-09-13 21:59:31,429 [INFO] 6,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.65 min
2025-09-13 21:59:38,778 [INFO] 6,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.78 min
2025-09-13 21:59:45,877 [INFO] 6,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.89 min
2025-09-13 21:59:52,980 [INFO] 6,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.01 min
2025-09-13 21:59:59,990 [INFO] 6,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.13 min
2025-09-13 22:00:06,958 [INFO] 6,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.24 min
2025-09-13 22:00:13,971 [INFO] 6,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.36 min
2025-09-13 22:00:20,942 [INFO] 7,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.48 min
2025-09-13 22:00:28,039 [INFO] 7,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.60 min
2025-09-13 22:00:35,052 [INFO] 7,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.71 min
2025-09-13 22:00:42,062 [INFO] 7,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.83 min
2025-09-13 22:00:49,096 [INFO] 7,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 9.95 min
2025-09-13 22:00:56,158 [INFO] 7,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.06 min
2025-09-13 22:01:03,181 [INFO] 7,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.18 min
2025-09-13 22:01:10,244 [INFO] 7,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.30 min
2025-09-13 22:01:17,437 [INFO] 7,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.42 min
2025-09-13 22:01:27,200 [INFO] 7,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.58 min
2025-09-13 22:01:35,953 [INFO] 8,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.73 min
2025-09-13 22:01:45,242 [INFO] 8,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 10.88 min
2025-09-13 22:01:54,793 [INFO] 8,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.04 min
2025-09-13 22:02:04,139 [INFO] 8,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.20 min
2025-09-13 22:02:13,719 [INFO] 8,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.36 min
2025-09-13 22:02:23,149 [INFO] 8,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.51 min
2025-09-13 22:02:32,537 [INFO] 8,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.67 min
2025-09-13 22:02:41,617 [INFO] 8,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.82 min
2025-09-13 22:02:51,117 [INFO] 8,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 11.98 min
2025-09-13 22:03:00,596 [INFO] 8,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.14 min
2025-09-13 22:03:10,037 [INFO] 9,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.30 min
2025-09-13 22:03:19,903 [INFO] 9,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.46 min
2025-09-13 22:03:29,792 [INFO] 9,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.63 min
2025-09-13 22:03:39,528 [INFO] 9,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.79 min
2025-09-13 22:03:49,490 [INFO] 9,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 12.95 min
2025-09-13 22:03:59,195 [INFO] 9,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.12 min
2025-09-13 22:04:08,817 [INFO] 9,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.28 min
2025-09-13 22:04:18,307 [INFO] 9,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.43 min
2025-09-13 22:04:27,524 [INFO] 9,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.59 min
2025-09-13 22:04:36,728 [INFO] 9,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.74 min
2025-09-13 22:04:46,256 [INFO] 10,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 13.90 min
2025-09-13 22:04:54,586 [INFO] 10,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.04 min
2025-09-13 22:05:03,605 [INFO] 10,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.19 min
2025-09-13 22:05:12,848 [INFO] 10,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.34 min
2025-09-13 22:05:22,222 [INFO] 10,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.50 min
2025-09-13 22:05:31,704 [INFO] 10,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.66 min
2025-09-13 22:05:41,589 [INFO] 10,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.82 min
2025-09-13 22:05:50,322 [INFO] 10,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 14.97 min
2025-09-13 22:05:57,358 [INFO] 10,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.08 min
2025-09-13 22:06:04,359 [INFO] 10,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.20 min
2025-09-13 22:06:12,359 [INFO] 11,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.33 min
2025-09-13 22:06:19,403 [INFO] 11,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.45 min
2025-09-13 22:06:26,379 [INFO] 11,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.57 min
2025-09-13 22:06:33,393 [INFO] 11,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.69 min
2025-09-13 22:06:40,430 [INFO] 11,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.80 min
2025-09-13 22:06:47,505 [INFO] 11,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 15.92 min
2025-09-13 22:06:54,640 [INFO] 11,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.04 min
2025-09-13 22:07:01,760 [INFO] 11,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.16 min
2025-09-13 22:07:08,957 [INFO] 11,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.28 min
2025-09-13 22:07:16,046 [INFO] 11,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.40 min
2025-09-13 22:07:23,180 [INFO] 12,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.52 min
2025-09-13 22:07:30,420 [INFO] 12,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.64 min
2025-09-13 22:07:37,578 [INFO] 12,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.76 min
2025-09-13 22:07:44,687 [INFO] 12,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.87 min
2025-09-13 22:07:51,802 [INFO] 12,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 16.99 min
2025-09-13 22:07:58,912 [INFO] 12,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.11 min
2025-09-13 22:08:06,041 [INFO] 12,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.23 min
2025-09-13 22:08:13,075 [INFO] 12,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.35 min
2025-09-13 22:08:20,180 [INFO] 12,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 17.47 min
