2025-09-14 00:39:05,536 [INFO] 100,000 games scanned | Reservoir filled: 100,000 | Elapsed: 0.12 min
2025-09-14 00:39:12,824 [INFO] 200,000 games scanned | Reservoir filled: 200,000 | Elapsed: 0.24 min
2025-09-14 00:39:20,076 [INFO] 300,000 games scanned | Reservoir filled: 300,000 | Elapsed: 0.36 min
2025-09-14 00:39:27,116 [INFO] 400,000 games scanned | Reservoir filled: 400,000 | Elapsed: 0.48 min
2025-09-14 00:39:34,282 [INFO] 500,000 games scanned | Reservoir filled: 500,000 | Elapsed: 0.60 min
2025-09-14 00:39:41,478 [INFO] 600,000 games scanned | Reservoir filled: 600,000 | Elapsed: 0.72 min
2025-09-14 00:39:48,654 [INFO] 700,000 games scanned | Reservoir filled: 700,000 | Elapsed: 0.84 min
2025-09-14 00:39:55,986 [INFO] 800,000 games scanned | Reservoir filled: 800,000 | Elapsed: 0.96 min
2025-09-14 00:40:03,122 [INFO] 900,000 games scanned | Reservoir filled: 900,000 | Elapsed: 1.08 min
2025-09-14 00:40:10,380 [INFO] 1,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.20 min
2025-09-14 00:40:17,679 [INFO] 1,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.32 min
2025-09-14 00:40:24,935 [INFO] 1,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.44 min
2025-09-14 00:40:32,365 [INFO] 1,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.57 min
2025-09-14 00:40:39,839 [INFO] 1,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.69 min
2025-09-14 00:40:47,127 [INFO] 1,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.81 min
2025-09-14 00:40:54,450 [INFO] 1,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 1.94 min
2025-09-14 00:41:01,778 [INFO] 1,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.06 min
2025-09-14 00:41:09,107 [INFO] 1,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.18 min
2025-09-14 00:41:16,514 [INFO] 1,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.30 min
2025-09-14 00:41:23,855 [INFO] 2,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.43 min
2025-09-14 00:41:31,163 [INFO] 2,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 2.55 min
