2025-09-14 13:50:00,234 [INFO] 5,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.34 min
2025-09-14 13:50:07,205 [INFO] 5,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.45 min
2025-09-14 13:50:14,227 [INFO] 5,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.57 min
2025-09-14 13:50:21,181 [INFO] 5,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.69 min
2025-09-14 13:50:28,201 [INFO] 5,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.80 min
2025-09-14 13:50:35,194 [INFO] 5,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 6.92 min
2025-09-14 13:50:42,154 [INFO] 6,000,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.03 min
2025-09-14 13:50:49,152 [INFO] 6,100,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.15 min
2025-09-14 13:50:56,118 [INFO] 6,200,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.27 min
2025-09-14 13:51:03,062 [INFO] 6,300,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.38 min
2025-09-14 13:51:10,009 [INFO] 6,400,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.50 min
2025-09-14 13:51:16,987 [INFO] 6,500,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.62 min
2025-09-14 13:51:23,916 [INFO] 6,600,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.73 min
2025-09-14 13:51:30,828 [INFO] 6,700,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.85 min
2025-09-14 13:51:37,747 [INFO] 6,800,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 7.96 min
2025-09-14 13:51:44,628 [INFO] 6,900,000 games scanned | Reservoir filled: 1,000,000 | Elapsed: 8.08 min
